                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6138,                 1.9092,                 1.3304,                0.52136,                0.49878,                0.48892,                0.29046,                  1.197,                 1.3863,                  1.093,             0.00046412,             0.00046412,             0.00046412
                      2,                 1.2065,                0.93302,                  1.058,                0.54288,                0.60651,                0.60641,                0.38623,                 1.1121,                0.93314,                 1.0623,             0.00047493,             0.00047493,             0.00047493
